"id_produto","nome_produto","preco","categoria_id","marca_id","fornecedor_id","data_estoque","status"
"48","Bola de Futebol","92.24","4","8","1","2022-07-02","Vendido"
"49","Camisa","852.63","2","5","2","2021-10-16","Vendido"
"50","Camisa","1014.86","2","1","6","2022-07-16","Estoque"
"51","Camisa","417.5","2","6","9","2021-01-09","Vendido"
"52","Chocolate","1695.25","4","7","7","2023-05-22","Vendido"
"53","Bola de Futebol","1348.93","4","3","3","2022-09-17","Estoque"
"54","Bola de Futebol","78.05","4","5","1","2020-05-20","Vendido"
"55","Bola de Futebol","1015.82","5","10","4","2020-11-28","Vendido"
"56","Livro de Ficção","1829.55","1","3","7","2021-03-27","Vendido"
"57","Livro de Ficção","928.51","5","1","6","2020-09-12","Vendido"
"58","Livro de Ficção","1840.41","1","3","2","2022-06-22","Vendido"
"59","Chocolate","1493.19","2","1","4","2021-08-12","Estoque"
"60","Livro de Ficção","1703.13","1","1","1","2022-11-09","Vendido"
"61","Livro de Ficção","1469.08","2","1","7","2023-09-01","Vendido"
"62","Camisa","654.93","1","3","2","2022-03-01","Vendido"
"63","Chocolate","993.43","2","3","6","2022-10-12","Vendido"
"64","Chocolate","896.6","1","7","3","2022-06-09","Vendido"
"65","Chocolate","665.25","5","3","1","2022-11-21","Vendido"
"66","Chocolate","92.67","1","3","6","2022-08-28","Vendido"
"67","Celular","90.51","4","2","3","2022-07-09","Estoque"
"68","Celular","714.5","1","4","4","2023-06-11","Vendido"
"69","Camisa","543.03","4","2","2","2022-12-25","Estoque"
"70","Camisa","1246.73","2","1","1","2020-08-19","Estoque"
"71","Celular","1656.98","1","7","3","2020-12-15","Vendido"
"72","Celular","1173.99","4","6","2","2021-03-16","Vendido"
"73","Bola de Futebol","702.66","4","8","1","2022-07-22","Estoque"
"74","Celular","1162.89","5","2","4","2020-03-14","Vendido"
"75","Chocolate","1459.47","2","2","7","2021-08-05","Vendido"
"76","Celular","1473.54","2","10","9","2023-08-20","Estoque"
"77","Chocolate","842.63","4","1","9","2021-01-09","Vendido"
"78","Bola de Futebol","1243.05","4","5","6","2023-01-25","Estoque"
"79","Livro de Ficção","29.85","3","10","2","2021-01-25","Vendido"
"80","Camisa","988.57","3","1","10","2022-03-06","Vendido"
"81","Camisa","301.34","1","1","2","2021-01-02","Estoque"
"82","Chocolate","641.21","3","10","8","2021-01-26","Estoque"
"83","Bola de Futebol","1736.84","2","2","5","2020-08-07","Vendido"
"84","Livro de Ficção","393.03","4","9","2","2021-08-11","Vendido"
"85","Camisa","925.51","5","4","9","2020-05-31","Vendido"
"86","Chocolate","1954.81","5","10","5","2021-11-21","Vendido"
"87","Bola de Futebol","1330.41","1","5","5","2023-05-29","Vendido"
"88","Bola de Futebol","917.85","4","6","2","2023-09-06","Vendido"
"89","Chocolate","1796.56","2","3","10","2022-11-01","Vendido"
"90","Celular","1677.53","4","8","2","2021-11-21","Vendido"
"91","Celular","1922.96","2","3","5","2022-03-30","Vendido"
"92","Bola de Futebol","378.82","1","7","3","2020-06-04","Vendido"
"93","Chocolate","596.03","4","6","4","2021-07-17","Vendido"
"94","Camisa","1564.95","2","8","3","2020-08-17","Vendido"
"95","Chocolate","311.43","4","7","8","2020-02-17","Vendido"
"96","Chocolate","1932.17","2","3","9","2021-08-20","Estoque"
"97","Celular","1432.59","3","1","7","2020-12-18","Vendido"
"98","Livro de Ficção","1445.1","1","10","2","2021-02-03","Estoque"
"99","Camisa","1071.53","5","8","4","2022-12-30","Vendido"
"100","Livro de Ficção","1701.41","2","1","6","2021-07-29","Vendido"
"101","Chocolate","1880.94","1","3","2","2022-07-20","Vendido"
"102","Bola de Futebol","349.54","1","1","4","2022-12-29","Vendido"
"103","Bola de Futebol","979.38","5","9","7","2021-11-16","Vendido"
"104","Bola de Futebol","1084.22","4","2","4","2022-12-21","Vendido"
"105","Livro de Ficção","1392.86","1","4","2","2021-03-20","Vendido"
"106","Livro de Ficção","1023.74","1","3","6","2022-01-19","Vendido"
"107","Livro de Ficção","532.49","1","2","1","2020-10-09","Vendido"
"108","Livro de Ficção","1873.06","1","6","4","2021-05-13","Vendido"
"109","Celular","174.33","1","10","1","2022-01-15","Vendido"
"110","Bola de Futebol","1469.56","2","1","2","2023-06-28","Estoque"
"111","Chocolate","180.27","3","1","1","2023-06-06","Vendido"
"112","Camisa","1448.05","3","9","1","2020-05-29","Estoque"
"113","Celular","446.24","2","7","1","2022-05-19","Vendido"
"114","Chocolate","405.71","3","1","4","2020-08-29","Vendido"
"115","Livro de Ficção","1732.12","5","1","1","2022-12-29","Vendido"
"116","Livro de Ficção","1716.24","4","1","2","2022-05-06","Estoque"
"117","Celular","1724.02","5","1","1","2022-11-11","Vendido"
"118","Livro de Ficção","1287.62","2","4","9","2020-11-20","Estoque"
"119","Bola de Futebol","433.3","2","7","2","2021-12-12","Vendido"
"120","Chocolate","183.41","1","4","3","2021-12-19","Vendido"
"121","Celular","1462.82","2","5","3","2022-05-20","Vendido"
"122","Celular","1043.64","2","1","1","2022-11-11","Vendido"
"123","Camisa","573.32","1","2","10","2022-11-30","Vendido"
"124","Chocolate","293.29","1","9","4","2022-07-11","Vendido"
"125","Bola de Futebol","1444.45","3","5","2","2022-06-07","Vendido"
"126","Camisa","1180.24","1","4","6","2021-05-01","Vendido"
"127","Bola de Futebol","975.6","4","5","2","2022-01-06","Vendido"
"128","Bola de Futebol","1090.99","2","4","6","2021-07-21","Vendido"
"129","Bola de Futebol","57.75","2","2","4","2021-11-17","Vendido"
"130","Livro de Ficção","432.25","2","5","6","2022-01-26","Estoque"
"131","Livro de Ficção","224.63","3","3","1","2022-02-01","Estoque"
"132","Chocolate","1474.25","5","3","5","2023-08-14","Vendido"
"133","Livro de Ficção","40.03","5","1","2","2021-10-11","Vendido"
"134","Livro de Ficção","852.96","1","6","7","2021-05-15","Vendido"
"135","Camisa","1844.21","2","3","2","2020-12-05","Vendido"
"136","Chocolate","1346.39","2","7","4","2021-11-05","Estoque"
"137","Celular","1720.81","1","2","4","2021-03-10","Vendido"
"138","Bola de Futebol","763.46","1","10","2","2022-05-17","Vendido"
"139","Chocolate","899.07","4","6","1","2020-08-03","Estoque"
"140","Bola de Futebol","415.08","1","4","4","2020-03-25","Estoque"
"141","Bola de Futebol","807.92","1","1","2","2023-09-08","Vendido"
"142","Camisa","647.83","3","1","1","2021-11-09","Vendido"
"143","Camisa","891.86","4","2","3","2021-12-03","Vendido"
"144","Livro de Ficção","1399.47","1","2","5","2023-07-15","Estoque"
"145","Camisa","1480.05","1","1","1","2021-11-29","Vendido"
"146","Chocolate","115.38","3","5","9","2022-08-26","Vendido"
"147","Chocolate","1706.14","3","5","2","2022-01-21","Vendido"
"148","Camisa","1410.69","4","9","2","2023-03-25","Estoque"
"149","Livro de Ficção","508.7","4","9","2","2021-03-29","Vendido"
"150","Camisa","182.55","3","9","4","2021-02-19","Vendido"
"151","Bola de Futebol","1085.92","5","2","2","2020-12-03","Vendido"
"152","Livro de Ficção","1857.55","4","1","4","2022-12-24","Estoque"
"153","Camisa","1329.44","2","1","10","2020-10-28","Vendido"
"154","Chocolate","177.73","2","3","5","2021-09-05","Vendido"
"155","Bola de Futebol","1242.38","2","2","9","2021-01-13","Vendido"
"156","Camisa","1463.77","1","1","3","2021-03-28","Estoque"
"157","Chocolate","1223.61","1","10","3","2023-06-13","Vendido"
"158","Livro de Ficção","720.82","4","1","1","2022-12-08","Vendido"
"159","Celular","1518.53","4","4","1","2023-01-01","Vendido"
"160","Chocolate","1643.46","1","6","6","2022-05-08","Vendido"
"161","Camisa","42.16","2","8","1","2023-01-02","Vendido"
"162","Bola de Futebol","1066.15","2","7","9","2022-05-13","Vendido"
"163","Bola de Futebol","852.24","4","5","6","2021-08-03","Vendido"
"164","Celular","518.3","2","9","8","2020-12-26","Vendido"
"165","Celular","1779.08","3","6","1","2022-10-06","Vendido"
"166","Bola de Futebol","1086.2","2","1","2","2021-11-12","Vendido"
"167","Celular","1653.62","4","3","6","2021-02-10","Vendido"
"168","Livro de Ficção","85.32","4","7","4","2022-05-30","Vendido"
"169","Camisa","1765.34","2","10","1","2021-11-08","Vendido"
"170","Chocolate","1316.33","1","7","1","2022-10-21","Vendido"
"171","Camisa","1125.08","4","8","10","2020-01-25","Estoque"
"172","Chocolate","1868.13","2","2","2","2023-01-15","Vendido"
"173","Chocolate","966.3","2","2","3","2020-07-19","Vendido"
"174","Celular","1845.52","2","8","3","2020-06-22","Vendido"
"175","Chocolate","1863.51","3","2","7","2022-05-04","Vendido"
"176","Camisa","479.14","3","1","2","2023-09-17","Vendido"
"177","Celular","918.46","3","8","2","2021-09-20","Estoque"
"178","Celular","403.8","2","6","10","2021-11-12","Vendido"
"179","Chocolate","1621.66","1","1","1","2021-11-30","Vendido"
"180","Celular","427.09","1","8","9","2020-07-06","Vendido"
"181","Livro de Ficção","176.74","1","2","1","2021-09-01","Vendido"
"182","Livro de Ficção","1956.8","3","3","2","2022-12-30","Vendido"
"183","Celular","1159.05","3","2","1","2023-05-09","Vendido"
"184","Bola de Futebol","362.38","5","3","5","2023-06-11","Estoque"
"185","Celular","666.34","2","9","9","2020-06-20","Vendido"
"186","Bola de Futebol","1729.74","3","6","2","2022-01-11","Vendido"
"187","Chocolate","763.38","2","1","7","2020-09-21","Vendido"
"188","Chocolate","504.81","1","1","4","2022-12-09","Vendido"
"189","Chocolate","587.34","2","5","1","2022-12-03","Estoque"
"190","Celular","561.9","4","1","1","2020-01-14","Vendido"
"191","Livro de Ficção","1691.85","5","1","5","2021-11-23","Vendido"
"192","Bola de Futebol","424.06","5","10","6","2021-11-02","Vendido"
"193","Celular","1587.35","3","2","10","2021-04-25","Estoque"
"194","Chocolate","896","5","9","10","2022-11-09","Vendido"
"195","Bola de Futebol","1727.64","2","7","3","2021-01-04","Estoque"
"196","Chocolate","772.43","4","9","2","2020-02-18","Vendido"
"197","Livro de Ficção","1482.17","2","7","5","2021-12-14","Vendido"
"198","Celular","1761.19","5","6","10","2020-11-18","Vendido"
"199","Chocolate","118.34","1","10","10","2020-10-15","Vendido"
"200","Camisa","36.38","1","2","2","2022-11-15","Vendido"
"201","Chocolate","1473.85","1","6","2","2022-10-29","Vendido"
"202","Livro de Ficção","1404.92","2","2","4","2021-11-10","Estoque"
"203","Chocolate","795.73","3","2","2","2020-03-22","Vendido"
"204","Bola de Futebol","1498","5","5","3","2022-09-26","Vendido"
"205","Bola de Futebol","1112.25","3","5","9","2023-01-06","Vendido"
"206","Livro de Ficção","1722.14","2","7","7","2023-05-06","Vendido"
"207","Livro de Ficção","1426.14","2","6","8","2021-03-01","Vendido"
"208","Bola de Futebol","1333.59","4","8","5","2022-11-12","Vendido"
"209","Celular","785.39","2","2","2","2021-01-12","Vendido"
"210","Celular","329.17","1","3","3","2023-01-04","Vendido"
"211","Chocolate","635.11","3","2","2","2020-09-22","Vendido"
"212","Bola de Futebol","866.44","2","8","4","2022-09-25","Vendido"
"213","Livro de Ficção","117.08","2","2","1","2021-03-18","Estoque"
"214","Celular","434.91","2","9","2","2023-01-20","Estoque"
"215","Bola de Futebol","1302.27","2","5","2","2022-06-27","Vendido"
"216","Livro de Ficção","102.8","2","6","5","2021-01-31","Estoque"
"217","Livro de Ficção","1185.13","1","10","4","2023-06-24","Vendido"
"218","Livro de Ficção","458.35","4","3","1","2020-09-06","Estoque"
"219","Camisa","1747.67","1","2","1","2022-06-10","Estoque"
"220","Chocolate","27.78","3","1","9","2022-03-17","Vendido"
"221","Livro de Ficção","976.06","1","4","2","2020-12-09","Vendido"
"222","Bola de Futebol","1428.46","1","2","9","2023-02-27","Estoque"
"223","Livro de Ficção","1404.76","1","3","8","2022-12-07","Vendido"
"224","Chocolate","1879.04","5","3","4","2022-05-30","Estoque"
"225","Chocolate","47.43","2","1","8","2021-12-13","Vendido"
"226","Camisa","520.29","2","4","1","2020-12-25","Vendido"
"227","Bola de Futebol","1511.41","4","4","4","2022-05-31","Vendido"
"228","Celular","831.26","4","7","2","2023-02-04","Vendido"
"229","Bola de Futebol","474.32","1","1","5","2020-12-07","Vendido"
"230","Camisa","1636.23","1","1","1","2023-01-17","Vendido"
"231","Bola de Futebol","1917.05","1","8","5","2023-09-24","Estoque"
"232","Celular","891.69","2","1","10","2022-06-16","Estoque"
"233","Camisa","848.4","4","2","5","2021-06-17","Vendido"
"234","Camisa","20.6","2","3","7","2022-11-24","Vendido"
"235","Chocolate","1751.96","1","7","4","2020-01-15","Vendido"
"236","Bola de Futebol","1303.28","2","7","1","2023-04-12","Vendido"
"237","Celular","928.62","3","5","2","2020-08-04","Vendido"
"238","Camisa","904.18","3","3","4","2022-08-03","Vendido"
"239","Camisa","1547.97","1","8","1","2020-02-20","Vendido"
"240","Chocolate","974.62","5","5","1","2022-09-09","Vendido"
"241","Camisa","527.42","1","1","6","2022-08-21","Vendido"
"242","Camisa","1634.56","1","4","2","2022-06-05","Vendido"
"243","Bola de Futebol","818.28","2","1","4","2023-04-16","Vendido"
"244","Livro de Ficção","585.17","1","9","4","2022-02-18","Vendido"
"245","Camisa","131.55","4","5","3","2020-01-25","Estoque"
"246","Livro de Ficção","1575.83","5","2","1","2022-08-03","Vendido"
"247","Camisa","980.24","2","1","1","2022-12-17","Vendido"
"248","Bola de Futebol","1965.99","1","8","1","2020-04-25","Vendido"
"249","Chocolate","565.13","5","2","2","2023-05-22","Vendido"
"250","Chocolate","604.52","1","1","6","2021-03-05","Vendido"
"251","Celular","133.9","1","9","1","2020-04-29","Vendido"
"252","Camisa","114","1","3","6","2021-07-06","Vendido"
"253","Celular","1758.43","1","10","6","2023-10-09","Vendido"
"254","Bola de Futebol","401.51","3","5","5","2022-06-25","Vendido"
"255","Livro de Ficção","712.4","2","1","10","2022-08-23","Estoque"
"256","Chocolate","1650.26","3","3","8","2020-05-01","Vendido"
"257","Camisa","1012.61","2","4","5","2022-03-09","Vendido"
"258","Bola de Futebol","183.7","2","7","5","2022-11-02","Vendido"
"259","Chocolate","1116.24","4","8","1","2023-08-11","Vendido"
"260","Livro de Ficção","129.04","4","10","1","2023-01-09","Vendido"
"261","Chocolate","1128.69","2","10","4","2023-09-27","Vendido"
"262","Bola de Futebol","93.55","1","2","1","2022-04-06","Vendido"
"263","Chocolate","107.57","3","1","2","2022-09-12","Vendido"
"264","Camisa","939.3","2","4","2","2022-08-19","Vendido"
"265","Chocolate","998.98","2","2","5","2021-05-24","Vendido"
"266","Chocolate","1528.34","3","1","2","2022-08-27","Estoque"
"267","Celular","730.09","1","5","9","2021-11-26","Vendido"
"268","Chocolate","58.62","1","7","4","2023-10-29","Vendido"
"269","Livro de Ficção","856.77","2","1","6","2020-09-07","Estoque"
"270","Camisa","943.78","1","10","10","2022-01-26","Vendido"
"271","Chocolate","1780.83","2","1","3","2023-07-12","Vendido"
"272","Livro de Ficção","12.33","1","2","4","2021-11-18","Estoque"
"273","Chocolate","855.01","2","7","10","2020-01-31","Vendido"
"274","Chocolate","1881.73","5","10","7","2021-09-26","Estoque"
"275","Livro de Ficção","62.96","5","9","1","2023-07-23","Estoque"
"276","Bola de Futebol","1675.11","2","10","2","2023-10-02","Vendido"
"277","Livro de Ficção","265.89","3","2","8","2021-11-08","Estoque"
"278","Chocolate","1207.67","2","3","2","2021-02-02","Vendido"
"279","Celular","80.64","1","1","2","2020-11-03","Vendido"
"280","Chocolate","614.19","2","1","2","2022-11-10","Estoque"
"281","Livro de Ficção","1422.75","4","2","3","2022-07-10","Vendido"
"282","Camisa","986.75","4","2","5","2022-12-31","Vendido"
"283","Livro de Ficção","1102","1","1","2","2020-01-12","Vendido"
"284","Celular","1642.21","1","7","2","2021-10-27","Estoque"
"285","Chocolate","410.05","3","2","1","2020-01-18","Estoque"
"286","Bola de Futebol","1246.51","1","9","4","2022-05-05","Vendido"
"287","Livro de Ficção","579.6","3","8","9","2021-09-16","Vendido"
"288","Camisa","794.6","1","8","7","2020-11-05","Vendido"
"289","Camisa","1032.51","2","8","4","2020-01-24","Vendido"
"290","Chocolate","1840.3","5","3","4","2020-12-21","Vendido"
"291","Celular","1041.4","1","1","1","2022-12-27","Vendido"
"292","Livro de Ficção","1424.68","4","1","1","2021-12-20","Vendido"
"293","Camisa","897.53","3","5","10","2022-01-06","Vendido"
"294","Celular","1567.9","3","6","5","2022-02-11","Estoque"
"295","Chocolate","530.57","2","1","7","2022-10-28","Estoque"
"296","Livro de Ficção","117.31","3","10","2","2020-01-15","Estoque"
"297","Celular","1761.05","1","4","1","2021-11-17","Vendido"
"298","Chocolate","1321.79","1","6","2","2022-08-23","Estoque"
"299","Celular","681.96","1","9","4","2023-09-12","Vendido"
"300","Livro de Ficção","1897.25","2","2","3","2022-07-04","Vendido"
"301","Camisa","194.22","1","3","2","2021-05-02","Vendido"
"302","Chocolate","1657.14","5","1","3","2022-10-23","Estoque"
"303","Chocolate","1426.15","5","3","3","2023-09-03","Vendido"
"304","Livro de Ficção","870.59","2","9","9","2022-01-13","Vendido"
"305","Livro de Ficção","1672.53","1","1","2","2022-11-09","Vendido"
"306","Camisa","859.91","5","7","2","2022-11-24","Vendido"
"307","Camisa","1850.67","4","1","3","2022-07-17","Estoque"
"308","Chocolate","1544.88","2","4","3","2022-03-06","Vendido"
"309","Chocolate","1706.03","1","6","3","2021-07-04","Estoque"
"310","Livro de Ficção","547.03","5","1","6","2020-12-12","Vendido"
"311","Chocolate","1082.91","5","3","6","2022-09-23","Estoque"
"312","Celular","908.31","2","9","5","2020-05-05","Vendido"
"313","Livro de Ficção","1178.92","2","6","6","2020-11-30","Estoque"
"314","Celular","821.01","1","3","4","2020-11-20","Vendido"
"315","Celular","1305.41","4","5","3","2020-08-01","Estoque"
"316","Chocolate","79.11","2","9","5","2022-09-23","Vendido"
"317","Camisa","873.61","4","9","10","2021-11-22","Estoque"
"318","Celular","209.26","1","8","8","2021-02-22","Vendido"
"319","Celular","516.21","4","4","2","2022-12-11","Vendido"
"320","Livro de Ficção","421.09","1","8","8","2022-12-08","Vendido"
"321","Celular","985.44","1","7","3","2022-01-29","Vendido"
"322","Bola de Futebol","1646.65","2","8","1","2021-07-06","Vendido"
"323","Bola de Futebol","129.71","1","2","9","2023-01-01","Estoque"
"324","Celular","1614.84","4","7","4","2022-12-19","Estoque"
"325","Celular","555.46","1","10","4","2021-10-16","Estoque"
"326","Celular","493.68","5","3","1","2022-11-26","Vendido"
"327","Livro de Ficção","298.46","1","6","3","2023-09-23","Vendido"
"328","Camisa","1736.81","2","10","3","2020-04-10","Estoque"
"329","Livro de Ficção","259.87","4","9","1","2023-10-07","Vendido"
"330","Celular","1154.86","3","2","2","2022-10-06","Vendido"
"331","Celular","990.39","5","1","9","2023-05-18","Vendido"
"332","Bola de Futebol","587.53","4","1","2","2022-06-17","Vendido"
"333","Celular","1047.07","1","7","8","2021-11-06","Estoque"
"334","Camisa","993.97","1","5","8","2022-12-17","Vendido"
"335","Chocolate","1026.03","1","1","3","2020-01-14","Vendido"
"336","Chocolate","884.36","1","10","3","2023-01-05","Vendido"
"337","Chocolate","1260.89","2","10","4","2021-09-08","Estoque"
"338","Celular","1061.33","2","5","9","2022-11-20","Vendido"
"339","Camisa","1448.38","4","10","2","2020-05-26","Vendido"
"340","Livro de Ficção","1272.61","4","5","9","2020-11-09","Estoque"
"341","Chocolate","1327.46","3","2","1","2022-01-09","Vendido"
"342","Camisa","32.12","2","10","5","2021-12-10","Vendido"
"343","Livro de Ficção","1636.19","3","5","1","2021-01-11","Vendido"
"344","Camisa","1478.63","1","6","3","2023-08-07","Vendido"
"345","Chocolate","1196.35","1","1","9","2020-09-06","Estoque"
"346","Bola de Futebol","1036.15","1","2","2","2020-03-12","Vendido"
"347","Livro de Ficção","423.17","5","5","1","2021-03-17","Estoque"
"348","Celular","1730.67","1","1","1","2022-05-06","Vendido"
"349","Livro de Ficção","1004.86","2","4","6","2020-08-27","Vendido"
"350","Chocolate","381.23","4","2","3","2022-03-04","Vendido"
"351","Celular","1556.69","1","6","2","2020-09-09","Vendido"
"352","Camisa","116.13","2","2","4","2022-10-16","Estoque"
"353","Livro de Ficção","367.64","5","5","6","2022-06-01","Vendido"
"354","Celular","1705.82","2","1","2","2022-09-02","Vendido"
"355","Livro de Ficção","1024.75","1","9","8","2022-12-23","Vendido"
"356","Livro de Ficção","772.62","2","1","10","2022-11-09","Vendido"
"357","Bola de Futebol","1645.3","3","6","2","2020-11-07","Estoque"
"358","Celular","1927.46","5","5","8","2022-11-08","Vendido"
"359","Celular","630.7","2","3","2","2022-11-11","Vendido"
"360","Livro de Ficção","548.64","2","9","3","2023-05-01","Vendido"
"361","Livro de Ficção","1744.55","3","1","1","2020-11-01","Vendido"
"362","Camisa","1319.89","1","5","1","2020-11-12","Vendido"
"363","Livro de Ficção","19.97","4","3","2","2020-03-28","Vendido"
"364","Chocolate","277.53","1","2","10","2022-03-17","Vendido"
"365","Chocolate","1797.37","4","1","10","2021-12-13","Vendido"
"366","Chocolate","1531.18","1","1","1","2023-09-24","Vendido"
"367","Celular","847.05","5","1","5","2023-01-10","Vendido"
"368","Chocolate","401.33","5","2","1","2021-12-07","Vendido"
"369","Livro de Ficção","761.25","4","4","7","2022-08-09","Vendido"
"370","Livro de Ficção","1262.81","1","2","7","2022-11-02","Vendido"
"371","Chocolate","380.11","2","8","3","2022-10-29","Vendido"
"372","Camisa","1161.88","4","3","5","2022-03-17","Vendido"
"373","Celular","953.59","3","7","7","2023-08-16","Vendido"
"374","Camisa","1013.52","4","3","3","2021-11-28","Vendido"
"375","Livro de Ficção","178.05","1","4","3","2022-12-11","Estoque"
"376","Bola de Futebol","1311.99","2","2","6","2022-01-01","Vendido"
"377","Chocolate","273.28","2","1","1","2020-11-07","Estoque"
"378","Celular","515.67","1","6","2","2022-09-28","Vendido"
"379","Chocolate","631.85","2","5","9","2022-08-17","Vendido"
"380","Livro de Ficção","611.41","1","6","3","2022-01-09","Vendido"
"381","Celular","1403.4","5","6","1","2023-08-26","Vendido"
"382","Celular","775.28","5","2","10","2022-11-12","Vendido"
"383","Camisa","1481.11","1","1","7","2021-08-18","Vendido"
"384","Celular","1670.58","1","7","10","2023-02-10","Estoque"
"385","Celular","458.92","1","10","1","2020-11-22","Vendido"
"386","Livro de Ficção","1315.65","2","6","4","2020-06-24","Estoque"
"387","Chocolate","1523.47","5","4","10","2023-09-23","Vendido"
"388","Chocolate","1085.76","2","7","2","2022-10-12","Vendido"
"389","Livro de Ficção","1325.83","1","10","1","2022-12-24","Vendido"
"390","Bola de Futebol","751.73","3","1","10","2021-05-15","Vendido"
"391","Livro de Ficção","1400.43","5","3","1","2020-10-21","Vendido"
"392","Camisa","1185.35","4","2","7","2020-11-03","Vendido"
"393","Chocolate","1945.02","1","2","10","2021-12-28","Vendido"
"394","Livro de Ficção","1376.94","5","6","2","2021-03-19","Estoque"
"395","Bola de Futebol","430.57","3","1","2","2021-12-27","Estoque"
"396","Celular","162.94","5","3","4","2023-06-20","Vendido"
"397","Chocolate","1858.92","5","7","2","2022-05-10","Estoque"
"398","Celular","973.15","3","6","1","2023-07-08","Vendido"
"399","Livro de Ficção","238.83","3","8","7","2022-11-07","Vendido"
"400","Camisa","400.92","2","3","4","2022-02-15","Vendido"
"401","Camisa","1125.93","2","9","2","2020-12-02","Vendido"
"402","Chocolate","1573.12","4","1","2","2020-01-22","Vendido"
"403","Celular","1034.12","3","9","2","2021-05-27","Vendido"
"404","Camisa","717.7","3","10","3","2022-05-08","Vendido"
"405","Bola de Futebol","1551.9","5","7","4","2020-10-30","Vendido"
"406","Camisa","1129.32","1","10","10","2021-01-16","Vendido"
"407","Chocolate","297","3","2","3","2022-12-01","Vendido"
"408","Chocolate","1785.68","2","2","2","2021-01-20","Vendido"
"409","Chocolate","1483.08","1","7","6","2022-05-18","Vendido"
"410","Livro de Ficção","1628.94","1","9","1","2022-06-02","Vendido"
"411","Bola de Futebol","79.82","1","1","3","2021-05-20","Vendido"
"412","Bola de Futebol","1951.09","1","3","2","2022-11-23","Vendido"
"413","Bola de Futebol","682.71","1","2","7","2021-04-03","Vendido"
"414","Livro de Ficção","1790.92","1","3","2","2023-01-12","Vendido"
"415","Livro de Ficção","1811.39","2","10","2","2021-04-29","Vendido"
"416","Livro de Ficção","1622.03","1","2","8","2023-02-10","Vendido"
"417","Celular","524.94","1","2","9","2021-10-06","Vendido"
"418","Chocolate","1217.05","3","1","2","2021-11-25","Vendido"
"419","Camisa","307.94","2","9","9","2022-04-13","Vendido"
"420","Camisa","181.7","3","5","4","2022-03-05","Vendido"
